text,is_scam,language
"Damn, can you make it tonight or do you want to just wait til tomorrow",0,English
आमच्या £250 साप्ताहिक कॉम्पमध्ये विनामूल्य प्रवेश फक्त WIN हा शब्द आता 80086 वर पाठवा. 18 T&C www.txttowin.co.uk,1,Marathi
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,1,English
Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,1,English
मैं तुम्हें नहीं जानता और तुम मुझे नहीं जानते। अभी CHAT को 86688 पर भेजें और आइए एक-दूसरे को खोजें! केवल 150p/संदेश आरसीवीडी। HG/Suite342/2Lands/Row/W1J6HL LDN। 18 वर्ष या उससे अधिक.,1,Hindi
Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,0,English
<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com,1,English
Jokin only lar... :-) depends on which phone my father can get lor...,0,English
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",1,English
somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,0,English
You have an important customer service announcement from PREMIER.,1,English
Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*,0,English
This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! ,0,English
"हॉट लाइव्ह फॅन्टसीजवर आता कॉल करा 08707500020 फक्त 20p प्रति मिनिट NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 हा राष्ट्रीय दर कॉल आहे",1,Marathi
Euro2004 किकऑफसाठी 18 दिवस! तुम्हाला दररोज सर्व ताज्या बातम्या आणि निकालांची माहिती दिली जाईल. सदस्यत्व रद्द करा 83222 वर GET EURO STOP पाठवा.,1,Marathi
I.ll give her once i have it. Plus she said grinule greet you whenever we speak,0,English
"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",1,English
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,1,English
"आखिरी मौका! आज ही अपने £150 मूल्य के डिस्काउंट वाउचर का दावा करें! अभी SHOP लिखकर 85023 पर भेजें! SavaMob, मोबाइल ऑफर करता है! टी सीएस सावामोब POBOX84, M263UZ। £3.00 उप. 16",1,Hindi
Sorry da. I gone mad so many pending works what to do.,0,English
"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",1,English
Nokia phone is lovly..,0,English
3मोबाइल से पूछा गया कि क्या 0870 चैटलाइन में मुफ़्त मिनट शामिल हैं। भारतीय ग्राहक सेवा SED हाँ। L8ER को मेगा बिल मिला। 3 बकवास मत करो. कुछ ही दिनों में जमानत देय। मुझे £250 चाहिए 3 £800 चाहिए,1,Hindi
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",1,English
"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",1,English
मम्मीचा मुलगा कुठे आहे? तो चांगला आहे की वाईट? तो सकारात्मक आहे की नकारात्मक आहे? मम्मीला वाट का लावली जात आहे? ह्म्म्म?,0,Marathi
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386,1,English
U4 वरून काही काळ ऐकले नाही. सह करण्यासाठी 4 असभ्य चॅट खाजगी लाईन 01223585334 वर कॉल करा. माझे 2C फोटो काढून टाकले जातात आणि नंतर 8552 वर PIX पाठवा. 2End पाठवा STOP 8552 SAM xxx,1,Marathi
U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.,0,English
PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,1,English
"YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV",0,English
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,1,English
"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL",1,English
Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...,0,English
Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,1,English
Call me when u're done...,0,English
"Yes..but they said its IT.,",0,English
"अरे, मैं वास्तव में उत्तेजित हूं, चैट करना चाहता हूं या मुझे नग्न देखना चाहता हूं, 69698 पर हॉट टेक्स्ट भेजें, 150 बजे चार्ज किया जाएगा, सदस्यता समाप्त करने के लिए टेक्स्ट बंद करें 69698",1,Hindi
Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info,1,English
"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?",0,English
Headin towards busetop,0,English
Also remember to get dobby's bowl from your car,0,English
"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",1,English
"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",0,English
Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,1,English
Pls send me the correct name da.,0,English
Watching telugu movie..wat abt u?,0,English
मी परत आलो आहे. a30 वर अपघाताचा थोडा वेळ. वाडेब्रिज मार्गे वळवावे लागले. माझा वीकेंड चांगला गेला. धन्यवाद. लवकर बोला. खूप प्रेम,0,Marathi
"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",0,English
उस बारे में जी और एक्स से बात करें,0,Hindi
How do you guys go to see movies on your side.,0,English
Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 ,1,English
K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,0,English
"आपका चीरहरण किया जा रहा है! अपना मोबाइल कंटेंट www.clubmoby.com से प्राप्त करें, 08717509990 पर कॉल करें, पॉली/ट्रू/पिक्स/रिंगटोन्स/गेम्स, केवल 3 के लिए छह डाउनलोड",1,Hindi
WHO ARE YOU SEEING?,0,English
मैथ्यूज या टैट या एडवर्ड्स या एंडरसन,0,Hindi
"ओह ठीक है, मुझे लगता है कि वेस्टइंडीज और न्यूजीलैंड के ज्यादातर खिलाड़ी नहीं बिके।",0,Hindi
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",1,English
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",1,English
I cant pick the phone right now. Pls send a message,0,English
"नाही, मी आठवड्याच्या शेवटी प्रयत्न करत होतो; व्ही",0,Marathi
Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,1,English
अत्यावश्यक! तुमच्या मोबाईल नंबरला £2000 बोनस कॉलर बक्षीस देण्यात आले आहे. लँड लाईनवरून 09058095201 वर कॉल करा. वैध फक्त 12 तास,1,Marathi
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",1,English
"मेरा मानना ​​है कि 50 शद ठीक रहेगा, उन्होंने कहा प्लस माइनस 10.. क्या आपने पैराग्राफ के बीच में कोई लाइन छोड़ी है?",0,Hindi
नोकिया फोन छान आहे..,0,Marathi
आप जीत लिये हैं! एक मूल्यवान वोडाफोन ग्राहक के रूप में हमारे कंप्यूटर ने आपको 150 पाउंड का पुरस्कार जीतने के लिए चुना है। इकट्ठा करना आसान है. बस 09061743386 पर कॉल करें,1,Hindi
"बरं, मी आता माझी आंघोळ पूर्ण करणार आहे. तुमची रात्र चांगली जावो.",0,Marathi
"प्रत्येक सप्ताह £250 नकद जीतने का मौका पाने के लिए TXT: ACTION to 80608। T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",1,Hindi
"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",1,English
She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up,0,English
"मिला, उम्र 23, गोरी, ब्रिटेन में नई। मैं यूके के लोगों के साथ सेक्स करना चाहता हूं। अगर तुम्हें मेरे साथ मज़ा पसंद है. MTALK लिखकर 69866.18 पर भेजें। 30पीपी/टीएक्सटी 1 5 मुफ़्त। £1.50 की वृद्धि। सहायता08718728876",1,Hindi
खूप उशीर झाला आहे :) पण तुम्हाला त्याच शुभेच्छा.,0,Marathi
SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,1,English
"Free Msg: get Gnarls Barkleys ""Crazy"" ringtone TOTALLY FREE just reply GO to this message right now!",1,English
<88877 वरून फॉरवर्ड केलेले>आमच्या £250 साप्ताहिक कॉम्पमध्ये विनामूल्य प्रवेश फक्त ENTER हा शब्द आता 88877 वर पाठवा. 18 T&C www.textcomp.com,1,Marathi
Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,1,English
छान.छान.कसे चालले आहे?,0,Marathi
हम्म...माझ्या काकांनी मला कळवले की ते थेट शाळेला पैसे देत आहेत. तर कृपया अन्न खरेदी करा.,0,Marathi
हळुहळु... मी जेव्हा पितो तेव्हा मला खायला खरच लक्षात ठेवायला हवं पण त्या रात्री तू मला सोबत ठेवल्याबद्दल मला कौतुक वाटतं बाळा *हसत*,0,Marathi
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",1,English
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,English
Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,1,English
तुमच्या कॉलेजमध्ये अश्विनी नावाचा कोणी मित्र आहे का?,0,Marathi
"Sorry that took so long, omw now",0,English
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,1,English
XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,1,English
अच्छी खबर! अपने गारंटीकृत £1000 नकद या £2000 उपहार का दावा करने के लिए FREEFONE 08006344447 पर कॉल करें। अभी लाइव ऑपरेटर से बात करें!,1,Hindi
Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,1,English
मुझे खेद है कि यह मेरे दोस्त का फोन है और केट की तरह मैंने इसे नहीं लिखा,0,Hindi
"अभिनंदन! 2 साठी 1 वर्षाचा स्पेशल सिनेमा पास तुमचा. आता 09061209465 वर कॉल करा! C Suprman V, Matrix3, StarWars3, इ सर्व 4 मोफत! bx420-ip4-5we. दुपारी 150 वा. चुकवू नका!",1,Marathi
"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",1,English
Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..,0,English
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,English
"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",0,English
"तुम्ही ?1,000 रोख किंवा 2,000 बक्षीस जिंकले आहे! दावा करण्यासाठी, 09050000327 वर कॉल करा",1,Marathi
WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,1,English
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,1,English
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,1,English
Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,1,English
वहाँ हाथी की गोलियों का आकार है और आप उम को अपनी गांड में दबाते हैं!!,0,Hindi
अपनी कार से डॉबी का कटोरा लेना भी याद रखें,0,Hindi
"तुम्हाला माहीत आहे का देवाने तुमच्या बोटांमध्ये अंतर का निर्माण केले..? जेणेकरुन, जो तुमच्यासाठी बनविला गेला आहे तो येतो &amp; तुझा हात प्रेमाने धरून ती पोकळी भरते..!",0,Marathi
Stupid.its not possible,0,English
"सनशाइन होल्स. अपने मेड हॉलिडे का दावा करने के लिए ड्रिंक्स ऑन अस यूके, पीओ बॉक्स 113, ब्रे, विकलो, आयरलैंड को एक मुद्रांकित स्व-पता लिफाफा भेजें। प्रश्नोत्तरी शनिवार से प्रारंभ हो रही है! अनसब स्टॉप",1,Hindi
Good morning princess! Have a great day!,0,English
या मुझे लगता है &lt;#&gt;  मिन,0,Hindi
"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",1,English
Or I guess  &lt;#&gt;  min,0,English
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",0,English
Lol for real. She told my dad I have cancer,0,English
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,1,English
"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",1,English
"ऑरेंज तुमच्यासाठी सदैव चार्ट हीरोजचे रिंगटोन आणते, प्रत्येक आठवड्यात फ्री हिटसह! wap वर रिंगटोन आणि चित्रांवर जा. या टिपा प्राप्त करणे थांबवण्यासाठी STOP उत्तर द्या.",1,Marathi
"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",1,English
खेल प्रशंसक - नवीनतम खेल समाचार प्राप्त करें 2 अपने मोबाइल पर 1 सप्ताह मुफ़्त प्लस एक मुफ़्त टोन टेक्स्ट स्पोर्ट 8007 पर www.getzed.co.uk 0870141701216+ मानक 4txt/120p,1,Hindi
Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!,0,English
No prob. I will send to your email.,0,English
रविवार को मेरी वसीयत के साथ डेट है!!,0,Hindi
Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.,1,English
अरे आप भुगतान कर सकते हैं. वेतन के साथ डी. केवल &lt;#&gt; .,0,Hindi
I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love,0,English
Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...,0,English
के मैं पीऊंगा.पा फिर क्या कर रहा हूं. मुझे एसआरएस मॉडल की आवश्यकता है कृपया इसे मेरी मेल आईडी पीए पर भेजें।,0,Hindi
"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",1,English
Mathews or tait or edwards or anderson,0,English
पांडी आज 4w तंत्रज्ञानात सामील झाला. त्याला नोकरी मिळाली..,0,Marathi
URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only,1,English
"आपको 250 शीर्ष ब्रिटिश होटलों में से एक में ठहरने के लिए चुना गया है - मुफ़्त में! छुट्टी का मूल्य £350! दावा करने के लिए 08712300220 डायल करें - राष्ट्रीय दर कॉल। बीएक्स526, एसडब्ल्यू73एसएस",1,Hindi
